0	10
0	8
0	6
0	32
1	79
1	77
1	78
2	6
2	19
2	23
2	22
2	29
2	69
2	72
2	53
2	45
3	7
3	9
3	22
3	25
3	26
3	27
3	29
3	30
3	31
3	39
3	38
3	42
3	50
3	53
3	54
3	56
3	60
3	61
3	62
3	63
3	64
3	65
3	66
3	67
3	68
3	69
3	70
3	71
3	72
3	76
3	74
3	45
4	11
11	14
14	18
14	37
5	12
15	17
10	13
10	16
10	19
10	20
10	21
10	22
10	23
10	24
10	25
10	26
10	27
10	28
10	29
10	53
10	54
10	56
10	67
10	69
10	71
10	72
10	45
10	55
10	57
10	58
10	59
10	60
10	61
10	62
10	63
10	64
10	65
10	66
10	70
13	36
16	29
19	29
19	23
20	24
20	38
20	57
20	45
21	57
22	29
22	30
22	25
22	31
22	40
22	42
22	45
22	56
23	29
24	28
24	39
24	45
25	30
25	66
27	43
28	41
28	58
25	45
31	42
32	36
	
